hotel_name,country_code,city_name,star_rating,latitude,longitude,partner_hotel_name,partner_country_code,partner_city_name,partner_star_rating,partner_latitude,partner_longitude
Eurostars Madrid Tower Hotel,ES,Madrid,5,40.4780311189,-3.6866855621,Eurostars Madrid Tower,ES,Madrid,5,40.4781616939,-3.6873614788
Hotel Plaza San Sebastian,ES,Antequera,2,37.0162200928,-4.5593314171,Plaza San SebastiÃ¡n,ES,Antequera,2,37.0164317947,-4.5596238971
Beatriz Playa,ES,Lanzarote,4,28.933144,-13.618525,Hotel Beatriz Playa & Spa,ES,Puerto del Carmen,4,28.9331437115,-13.6185246706
Golden Age of Athens,GR,Athens,4,37.978237552,23.7552620172,Golden Age Hotel,GR,Athens,4,37.97835454,23.7553328276
Chromata Up Style Hotel,GR,Santorini,5,36.4243212734,25.4281997681,Chromata,GR,Imerovigli,4,36.4345397611,25.4229560494
On The Rocks Hotel,GR,Santorini,4,36.431365376,25.4216766357,On The Rocks,GR,Imerovigli,4,36.4319868838,25.4230499268
La Maltese Hotel,GR,Santorini,5,36.4330188751,25.4221889377,La Maltese,GR,Imerovigli,5,36.4339894861,25.4222774506
Ilunion Barcelona Hotel,ES,Barcelona,4,41.399177585,2.2019326687,Ilunion Barcelona,ES,Barcelona,4,41.3991222555,2.202065438
Luxury Apartment Sagrada Familia,ES,Barcelona,3,41.40056,2.172511,Sagrada Familia Apartments,ES,Barcelona,0,41.4022860199,2.1704227477
La Santa Maria,ES,Cala Millor,3,39.5952148438,3.3810265064,Complejo La Santa MarÃ­a,ES,Cala Millor,3,39.5951936565,3.3811229467
Thalassa Hotel,GR,Santorini,4,36.383442512,25.4860496521,Thalassa,GR,Kamari,4,36.3829674528,25.4843866825
Aigialos Luxury Traditional Settlement,GR,Santorini,5,36.4155769348,25.4311847687,Aigialos Niche Residences & Suites,GR,Fira,5,36.4155152465,25.4311394691
Makarios Hotel,GR,Santorini,3,36.3839797974,25.4830265045,Hotel Makarios,GR,Kamari,3,36.383960755,25.4827880859
Hotel Apartamentos Isaba,ES,Isaba,3,42.85966,-0.9262553,HG Isaba,ES,Isaba,3,42.8596612374,-0.9262552857
Hotel Eurostars Rey Fernando II,ES,Zaragoza,4,41.6517181396,-0.9844779968,Eurostars Rey Fernando,ES,Zaragoza,4,41.6514982382,-0.9823013842
Pantheon Villas Hotel,GR,Santorini,4,36.4495506287,25.4247112274,Pantheon Deluxe Villas,GR,Imerovigli,4,36.4495596825,25.4245680571
Galaxy Suites & Spa,GR,Santorini,4,36.4331780931,25.4224276543,Galaxy Suites & Villas,GR,Imerovigli,4,36.4331780931,25.4224276543
Bio Hotel Suites,GR,Crete Island,4,35.3657989502,24.4859046936,Bio Suites Hotel,GR,RÃ©thymno Town,4,35.3657085818,24.4859316945
Jason Inn Hotel,GR,Athens,3,37.97862975,23.72066055,Jason Inn,GR,Athens,3,37.9785143759,23.7206451595
Adler Hotel,ES,Madrid,5,40.4254357066,-3.6855053902,Adler,ES,Madrid,5,40.4253724098,-3.6843439937
TRYP Madrid-Getafe Los Angeles Hotel,ES,Madrid,4,40.2957472558,-3.6908483505,Tryp Madrid-Getafe Los Ãngeles Hotel,ES,Getafe,4,40.2960164778,-3.6909019946
Radisson Blu es. Hotel Rome,IT,Rome,5,41.8965606689,12.5057001114,Radisson Blu es. Hotel Roma,IT,Rome,5,41.8963406839,12.5061066449
Residenza Maxima Apartments,IT,Rome,0,41.8691293978,12.4519515038,Residenza Maxima,IT,Rome,0,41.8692991735,12.4518200755
Hotel Europa Ristorante Zaramella,IT,Padua,4,45.4117279053,11.8779907227,Hotel Europa,IT,Padova,4,45.4110662244,11.8772466481
Melia Villaitana Hotel,ES,Alicante - Costa Blanca,4,38.5602760315,-0.1463570595,Melia Villaitana,ES,Benidorm,4,38.5589972036,-0.1480150223
Frontair Congress Aeropuerto Hotel,ES,Sant Boi del Llobregat,4,41.3297271729,2.049959898,Frontair Congress Aeropuerto,ES,Sant Boi del Llobregat,4,41.3296778598,2.0499104261
Vera Miramar Resort,TR,Bodrum,5,37.0231476946,27.4427211285,Vera Miramar Resort - Ultra All Inclusive,TR,Bodrum City,5,37.0227922122,27.4430215359
The Level at Melia Villaitana Hotel,ES,Benidorm,5,38.5584640503,-0.1511421204,The Level at MeliÃ¡ Villaitana,ES,Benidorm,5,38.5589930088,-0.1479640603
Pension Segre,ES,Barcelona,2,41.380027771,2.1798272133,PensiÃ³n Segre,ES,Barcelona,0,41.3800086362,2.1797575057
Pension 45,ES,Barcelona,1,41.3847846985,2.1678857803,PensiÃ³n 45,ES,Barcelona,0,41.3848376269,2.1680523455
Volcano View Hotel & Villas,GR,Santorini,4,36.3949194637,25.4378600121,Volcano View by Caldera Collection,GR,Fira,5,36.3941780753,25.4384887218
Residence La Contessina,IT,Florence,3,43.7777099609,11.2509231567,Hotel Residence La Contessina,IT,Florence,0,43.7776981053,11.2510567904
AinB Picasso - Corders,ES,Barcelona,0,41.38528,2.17941,AinB Picasso-Corders Apartments,ES,Barcelona,0,41.3852994766,2.1793404222
AinB Gothic - Jaume I,ES,Barcelona,0,41.3855671265,2.1768379211,AinB Gothic-Jaume I Apartments,ES,Barcelona,0,41.3832588611,2.1778960526
Paseo de Gracia Apartments,ES,Barcelona,0,41.391867,2.168993,Paseo de GrÃ¡cia Apartments,ES,Barcelona,0,41.3919742969,2.1689964831
Borne Lofts Apartments,ES,Barcelona,0,41.3846321106,2.1830403805,Borne Lofts,ES,Barcelona,0,41.3846454401,2.1830780804
Sant Joan de Binissaida Hotel,ES,Menorca,0,39.86095047,4.2974033356,Sant Joan de Binissaida,ES,Es Castell,0,39.8604601379,4.2970329523
Country Holiday,PL,Mragowo,2,53.829334,21.388834,Country Holiday Hotel,PL,Kosewo,2,53.8293341897,21.3888332248
Holiday Inn Turin-Corso Francia Hotel,IT,Turin,4,45.0744652,7.6196978,Holiday Inn Turin Corso Francia,IT,Turin,4,45.0740907499,7.6186805964
Hotel Eurostars Palacio Buenavista,ES,Toledo,5,39.877,-4.0423,Eurostars Palacio Buenavista,ES,Toledo,5,39.8767378035,-4.0433067083
Villa Tiphareth H & H Marbella (Hotel & House),ES,Marbella,0,36.514244,-4.8582544,Villa Tiphareth Hotel & House,ES,Marbella,0,36.5142430583,-4.8582543433
Anessis Hotel,GR,Santorini,3,36.4161,25.4368,Anessis Apartments,GR,Fira,0,36.4163440916,25.4365253448
La City Hotel,ES,Alicante - Costa Blanca,3,38.3448829651,-0.4944695234,La City,ES,Alicante,3,38.3450031421,-0.4945161939
Hotel Apartaments Vistasol,ES,Majorca,0,39.5106761557,2.5385713577,Hotel Apartamentos Vistasol & Spa,ES,Magaluf,3,39.5108988164,2.536919117
Barcelo Raval Hotel,ES,Barcelona,4,41.37896667,2.169469444,BarcelÃ³ Raval,ES,Barcelona,4,41.378980203,2.1694913507
Room Mate Vega Hotel,ES,Salamanca,3,40.9644966125,-5.6628370285,Room Mate Vega,ES,Salamanca,3,40.9644123015,-5.6628412753
Augusta Lucilla Palace Hotel,IT,Rome,4,41.9001249632,12.4977475405,Augusta Lucilla Palace,IT,Rome,4,41.9000980118,12.4977622926
Hotel Reveron Plaza,ES,Tenerife,4,28.051943,-16.716707,Labranda Reveron Plaza,ES,Los Cristianos,4,28.0519422379,-16.7167080939
Apartaments Els Llorers,ES,Lloret De Mar,1.5,41.7075080872,2.8632879257,Apartamentos Els Llorers,ES,Lloret de Mar,0,41.7076969045,2.8635343909
Clarion Collection Hotel Griso,IT,Lecco,4,45.8492507935,9.3798789978,Clarion Collection Hotel Griso Lecco,IT,Malgrate,4,45.8493039524,9.3812210857
Albergo Della Posta 9,IT,Fobello,3,45.889757,8.157765,Albergo Della Posta,IT,Fobello,3,45.889757,8.157765
Sofia Hotel Heraklion,GR,Crete Island,3,35.3361930847,25.1611289978,Sofia Hotel,GR,Heraklio Town,3,35.3361224874,25.160947144
Best Western Taroba Hotel E Eventos,BR,Foz Do Iguacu,3,-25.5341161528,-54.5881891251,Best Western TarobÃ¡ Hotel,BR,Foz do IguaÃ§u,3,-25.5345106504,-54.5883393288
Santa Clara Urban Hotel&Spa,ES,Majorca,4,39.5668678284,2.6523346901,Santa Clara Urban Hotel & Spa,ES,Palma de Mallorca,4,39.5669423093,2.6522856206
Hilton Madrid Airport Hotel,ES,Madrid,4,40.454,-3.587,Hilton Madrid Airport,ES,Madrid,4,40.4525396596,-3.5858345032
Hilton Garden Inn Bari,IT,Bari,4,41.0944904,16.8620571,Hi Hotel Bari,IT,Bari,4,41.0946325355,16.862321198
Hotel Torre Del Mar,ES,Ibiza,4,38.8977798696,1.4173811674,Torre del Mar,ES,Playa d'en Bossa,4,38.8980679407,1.4174643159
Holiday Inn Express Girona,ES,Girona,3,41.966235,2.781988,Hotel B&B Girona,ES,Salt,3,41.9660079164,2.7835965157
The Flower of Monemvasia Hotel,GR,Monemvasia,3,36.6877837712,23.0365060084,The Flower Of Monemvasia Hotel,GR,MonemvasÃ­a,3,36.687805011,23.036441803
Divan Bodrum,TR,Bodrum,0,37.1504669189,27.3696899414,Divan Bodrum Palmira,TR,Golturkbuku,0,37.1331472694,27.3762774467
AinB Las Ramblas - Guardia,ES,Barcelona,0,41.377912,2.173852,AinB Las Ramblas-Guardia Apartments,ES,Barcelona,0,41.3779286083,2.173730582
Hotel Mar Azul - Adults Only,ES,Canyamel,4,39.719616,3.4575176,Mar Azul Pur Estil Hotel & Spa,ES,Cala Ratjada,4,39.7196159135,3.4575176239
Club Hotel Ephesus Princess,TR,Selcuk,5,37.92067676,27.27278978,Labranda Ephesus Princess,TR,KusadasÄ±,5,37.9206767571,27.2727897763
Art By The Spanish Steps Hotel,IT,Rome,4,41.90791,12.48033,Hotel Art By The Spanish Steps,IT,Rome,4,41.9077467453,12.4805787206
Apartamentos Millor Garden,ES,Majorca,3,39.6105484341,3.3885741234,Aparthotel Millor Garden & Spa,ES,Cala Bona,3,39.6103810585,3.3886519074
Castillo del Buen Amor Hotel,ES,Salamanca,0,41.1570735682,-5.6702327728,Posada Real Castillo del Buen Amor,ES,Villanueva de CaÃ±edo,0,41.1568473886,-5.6702877581
InterContinental De La Ville Rome Hotel,IT,Rome,5,41.905704,12.484007,Intercontinental De La Ville Rome,IT,Rome,5,41.9059122507,12.4837222695
Apartamentos Tabaiba Lanzarote Paradise,ES,Lanzarote,2,28.99867257,-13.50581557,Apartamentos Lanzarote Paradise,ES,Costa Teguise,2,28.9986725707,-13.5058155656
Hotel Vacanza,PL,Siemianowice Slaskie,3,50.3023414612,19.0200233459,Hotel Diament Vacanza,PL,Siemianowice ÅšlÄ…skie,3,50.3024506235,19.0197694302
Prado Apartments,ES,Madrid,0,40.4128799438,-3.6965017319,Prado Apartmentos,ES,Madrid,0,40.4129456758,-3.6965587735
Hotel Levante Club & Spa - Adults Only,ES,Benidorm - Costa Blanca,4,38.54167,-0.10390341,Hotel Levante Club & Spa - Adults Only (+16),ES,Benidorm,4,38.5416706064,-0.1039034128
Hotel & Golf Resort Il Pelagone,IT,Gavorrano,4,42.9628452238,10.8657574654,Cordial Hotel & Golf Resort Pelagone,IT,Gavorrano,4,42.9638541098,10.8657842875
Santamarta,ES,Cullera,4,39.17759,-0.24030447,Hotel Santamarta,ES,Cullera,4,39.1775907674,-0.2403044701
Los Robles,ES,Gandia,3,39.013718,-0.17139047,Hotel Los Robles,ES,GandÃ­a,3,39.0137174024,-0.1713904738
Corte Dei Greci Hotel,IT,Venice,3,45.4356002808,12.3436002731,Corte Dei Greci,IT,Venice,3,45.4356768844,12.343519181
Residenza Sant'Anna del Volterraio,IT,Portoferraio,0,42.8106079102,10.3681545258,Residenza Santâ€™Anna Del Volterraio,IT,Portoferraio,0,42.8106205547,10.3664857149
Casa Campana Hotel,ES,O Grove,1,42.49267299,-8.862093687,Casa CampaÃ±a,ES,O Grove,1,42.49267299,-8.8620936871
IGH Vega De Triana Hotel,ES,Seville,3,37.3794021606,-6.0289039612,IGH Vega de Triana,ES,Camas,3,37.379362082,-6.0288454592
Iberostar Playa de Muro Hotel,ES,Majorca,4,39.8073169,3.117177683,Iberostar Playa de Muro,ES,Playa de Muro,4,39.8061076542,3.1173911686
Hotel Bella Playa Spa,ES,Majorca,4,39.7192693112,3.4567880631,Hotel Bella Playa & Spa,ES,Cala Ratjada,4,39.7190753782,3.4589070082
B&B Hotel Bicocca,IT,Milan,0,45.502293,9.201374,Hotel Bicocca,IT,Milan,1,45.5022920842,9.201374352
Hotel Los Patios,ES,El Campillo de Rodalquilar,3,36.8555221558,-2.0204277039,Hotel Los Patios - Parque Natural,ES,Rodalquilar,3,36.8551838102,-2.0199394226
Hotel Balneario Villa de Olmedo,ES,Olmedo,4,41.2890548706,-4.6805887222,Castilla Termal Balneario de Olmedo,ES,Olmedo,4,41.2886663331,-4.6809750795
Hotel Exagon Park,ES,Can Picafort,4,39.7566716737,3.1656503677,Exagon Park Club & Spa,ES,Can Picafort,4,39.7565809459,3.1659910083
Iberostar Pinos Park Hotel,ES,Majorca,4,39.68304097,3.451988344,Iberostar Pinos Park,ES,Font de Sa Cala,4,39.6837581067,3.4515738487
Iberostar Club Cala Barca,ES,Majorca,4,39.3534622192,3.1987249851,Iberostar Club Cala Barca - All Inclusive,ES,Portopetro,4,39.3532943484,3.1974408028
AinB Born - Damas,ES,Barcelona,0,41.3835707937,2.1826851368,AinB Born-Dames Apartments,ES,Barcelona,0,41.3837800895,2.1828252822
Aparthotel Bonanova Suites,ES,Barcelona,3,41.4055270841,2.1361863613,Aparthotel Bonanova,ES,Barcelona,3,41.4054818189,2.1361159533
Atlas Hotel,ES,Barcelona,3,41.3819656372,2.1733779907,Hotel Atlas,ES,Barcelona,3,41.3819688532,2.1733979881
Hotel Ristorante Cervo Malpensa,IT,Milan,3,45.6403877069,8.7093257904,Hotel Ristorante Cervo,IT,Case Nuove,3,45.6401281659,8.709128648
Valentin Playa de Muro Resort,ES,Majorca,3,39.7740097046,3.1390857697,Valentin Blue Bay Resort,ES,Playa de Muro,3,39.7739861288,3.1388416886
Taksim Riva Hotel,TR,Istanbul,4,41.0392739627,28.9847230911,Riva Hotel Taksim,TR,Istanbul,4,41.0391889932,28.9852568507
Porto Bello Resort & Spa,TR,Antalya,5,36.8511009216,30.6215457916,Porto Bello Hotel Resort & Spa,TR,Antalya,5,36.8518356954,30.6225496531
Suites Apartamentos Las Brisas,ES,Santander,0,43.4758644104,-3.7892708778,Apartamentos Las Brisas,ES,Santander,3,43.4757742742,-3.7891861796
CCR Cappadocia Cave Resort and Spa,TR,Goreme,5,38.632427316,34.8067474365,Ccr Hotels&SpaCappadocia Cave Resort&Spa,TR,Uchisar,0,38.632402173,34.8074769974
Mim Hotel,TR,Istanbul,4,41.0554187403,28.9977881312,Mim Hotel Istanbul,TR,Istanbul,4,41.0549469369,28.9970183372
Melia Gorriones Hotel,ES,Fuerteventura,4,28.1373543337,-14.2446718644,Melia Gorriones,ES,Costa Calma,4,28.1371526981,-14.2454695702
Melia Sierra Nevada Hotel,ES,Sierra Nevada,4,37.0948147,-3.400301729,Melia Sierra Nevada,ES,Sierra Nevada,4,37.0949252998,-3.3986597168
Melia Sol y Nieve Hotel,ES,Sierra Nevada,4,37.09618024,-3.396830063,Melia Sol y Nieve,ES,Sierra Nevada,4,37.0955307561,-3.3999654651
Catalonia Port Hotel,ES,Barcelona,4,41.3787648539,2.1787047386,Catalonia Port,ES,Barcelona,4,41.3796584475,2.1795415878
Dream Hotel Noelia Sur,ES,Tenerife,4,28.059883,-16.72905,Dream Hotel Noelia Sur - Adults Only,ES,Playa de las Americas,4,28.0598835901,-16.7290502787
Aparthotel Acacia Suites,ES,Barcelona,4,41.3878370757,2.1511423588,Acacia Suite,ES,Barcelona,4,41.3879537908,2.1511282772
NH Poznan,PL,Poznan,4,52.40687896,16.92079615,NH PoznaÅ„,PL,PoznaÅ„,4,52.4068337875,16.9210159779
Dedeman Konya Hotel & Convention Center,TR,Konya,5,37.8936004639,32.4754943848,Dedeman Konya Hotel Convention Center,TR,Konya,5,37.8937153314,32.4758541584
Rodos Park Suites and Spa Hotel,GR,Rodos,5,36.443088,28.220194,Rodos Park Suites & Spa,GR,Rhodes Town,5,36.4451733288,28.2201567292
Hotel Diamante Alessandria,IT,Alessandria,4,44.8859329224,8.6976528168,Hotel Diamante,IT,Spinetta,4,44.8858418556,8.6976957321
IBEROSTAR Playa de Palma,ES,Majorca,5,39.52356218,2.738089925,Iberostar Playa de Palma,ES,Playa de Palma,5,39.5235024453,2.7384021878
IBEROSTAR BahÃ­a de Palma,ES,Majorca,4,39.52434721,2.737233118,Iberostar BahÃ­a de Palma - Adults Only,ES,Playa de Palma,4,39.5244412863,2.7372989059
Iberostar Suites Hotel Jardin del Sol,ES,Majorca,4,39.5199274789,2.468836929,Iberostar Suites Hotel JardÃ­n del Sol - Adults Only,ES,Santa Ponsa,4,39.5197094811,2.4691396952
Iberostar Royal Andalus Resort,ES,Chiclana de la Frontera,4,36.34930861,-6.165851355,Iberostar Royal Andalus,ES,Novo Sancti Petri,4,36.3479692073,-6.1644351482
Iberostar Isla Canela Resort,ES,Isla Canela,4,37.1819115935,-7.3464846611,Iberostar Isla Canela,ES,Isla Canela,4,37.1825697779,-7.3471015692
Hotel Iberostar Anthelia,ES,Tenerife,5,28.0895118713,-16.7391738892,Iberostar Hotel Anthelia,ES,Adeje,5,28.0900317143,-16.7379391193
Iberostar Torviscas Playa Resort,ES,Tenerife,4,28.08425923,-16.73409725,Iberostar Torviscas Playa,ES,Adeje,4,28.0843998478,-16.7337870598
Sheraton Cesme Hotel Resort and Spa,TR,Izmir,5,38.306454,26.368577,Sheraton Cesme Hotel Resort & Spa,TR,Cesme,5,38.3061071437,26.3684427738
Iberostar Las Dalias Resort,ES,Tenerife,4,28.0764674071,-16.7314696312,Iberostar Las Dalias - All Inclusive,ES,Playa de las Americas,4,28.0767797936,-16.7307400703
Iberostar Fuerteventura Palace,ES,Fuerteventura,4,28.0561122894,-14.3206357956,Iberostar Palace Fuerteventura,ES,Morro del Jable,4,28.0566645135,-14.3194314837
Iberostar Playa Gaviotas Resort,ES,Fuerteventura,4,28.0563118294,-14.3173742294,Iberostar Playa Gaviotas,ES,Morro del Jable,4,28.0570645364,-14.3188869953
Iberostar Gaviotas Park Resort,ES,Fuerteventura,4,28.0567473586,-14.3197238445,Iberostar Gaviotas Park,ES,Morro del Jable,4,28.0568633416,-14.3193697929
Iberostar Costa Canaria,ES,Gran Canaria,4,27.7708320618,-15.541176796,Hotel Costa Canaria - Adults Only,ES,San Agustin,4,27.771613655,-15.5415920913
Caserio De Lobones Hotel,ES,Segovia,0,40.97000566,-4.19722259,Caserio de Lobones,ES,Valverde del Majano,0,40.9700056616,-4.1972225905
Grand Hotel RzeszÃ³w,PL,Rzeszow,4,50.036636,22.001675,Grand Hotel Boutique,PL,RzeszÃ³w,4,50.0366369457,22.0016750693
Hotel Princesa Galiana,ES,Toledo,3,39.8621635437,-4.0128688812,Princesa Galiana,ES,Toledo,3,39.8621211226,-4.0126678348
El Vino Hotel Suites,TR,Bodrum,0,37.0416641235,27.436788559,El Vino Hotel & Suites,TR,Bodrum City,0,37.0396393909,27.4393951893
Coliseum Beach Resort,BR,Beberibe,4,-4.1719155,-38.091263,Coliseum Beach Resort All Inclusive,BR,Beberibe,4,-4.1719153107,-38.0912639201
Hotel Atlantis,ES,Barcelona,3,41.3856798209,2.1664953232,Atlantis by Atbcn,ES,Barcelona,3,41.385726106,2.1663665772
ABAC Restaurant Hotel,ES,Barcelona,5,41.4104356505,2.1366047859,ABaC Restaurant Hotel Barcelona GL Monumento,ES,Barcelona,5,41.4107233132,2.1364592761
Hotel Georgia,GR,Crete Island,3,35.3362664621,25.0886964798,Georgia Hotel,GR,Amoudara Herakliou,3,35.3359014916,25.0886106491
Equity Point Centric Hostel,ES,Barcelona,0,41.3911590576,2.1659440994,Equity Point Centric,ES,Barcelona,0,41.3910376096,2.1657429636
Zank By Toque Hotel,BR,Salvador,5,-13.0097793,-38.49548757,Zank by Toque Hotel,BR,Salvador,5,-13.0097792959,-38.4954875708
Goldcity Tourism Complex,TR,Alanya,5,36.478058,32.136276,Goldcity Hotel,TR,Kargicak,5,36.4780595438,32.1362757683
Hotel Venta Juanilla,ES,Segovia,4,41.1796875857,-3.5654067993,Venta Juanilla,ES,Santo TomÃ© del Puerto,4,41.1922148137,-3.5843700171
Hotel Diament Ustron,PL,Ustron,3,49.71851403,18.8267040253,Hotel Diament UstroÅ„,PL,UstroÅ„,3,49.7185365742,18.8267979026
Blue Sea Calas Marina Hotel,ES,Alicante - Costa Blanca,3,38.531797,-0.162625,Blue Sea Hotel Calas Marina,ES,Benidorm,3,38.5316838914,-0.1625740528
Grand Hotel Des Alpes,IT,San Martino di Castrozza,4,46.26329433,11.8027389,Hotel Des Alpes,IT,San Martino di Castrozza,4,46.2632943253,11.802738905
Los Telares,ES,La Gomera,0,28.1516127317,-17.1979272366,Apartamentos Los Telares,ES,Hermigua,0,28.1515973598,-17.1980090439
Hotel Spectra,TR,Istanbul,3.5,41.0053058547,28.9741601646,Hotel Spectra Sultanahmet,TR,Istanbul,0,41.0053077695,28.9741270244
Rusticae Casa de los Azulejos,ES,Cordoba,2,37.88388275,-4.775927961,Hotel Casa de los Azulejos,ES,CÃ³rdoba,2,37.8838827466,-4.7759279609
Hotel Costa Portals,ES,Portals Nous,3,39.536407467,2.5791168184,Hotel RD Costa Portals,ES,Portals Nous,3,39.5358321128,2.5761844218
Hotel Alcala Plaza,ES,Alcala de Henares,3,40.500504,-3.335381,AlcalÃ¡ Plaza,ES,AlcalÃ¡ de Henares,3,40.5005311448,-3.3353966475
Eurostars Palace Hotel,ES,Cordoba,5,37.8812555625,-4.7858333588,Eurostars Palace,ES,CÃ³rdoba,5,37.8810904342,-4.7855222225
Rose Garden Palace Hotel,IT,Rome,4,41.907928,12.491965,Rose Garden Palace,IT,Rome,4,41.9080212162,12.4919392169
Petit Hotel Rural Son Jorda,ES,Majorca,4,39.6225686617,2.9372549057,Petit Hotel Rural Son JordÃ¡,ES,Sencelles,4,39.6224692876,2.9369263351
B4 Padova Hotel,IT,Padua,4,45.41562509,11.92016823,Hotel SB Padova,IT,Padova,4,45.4157938894,11.9195491076
Patara Prince Hotel & Resort,TR,Kalkan,0,36.255091,29.416523,Patara Prince Hotel & Resort - Special Category,TR,Kalkan,0,36.2542536055,29.4176799059
Elma Park Terme Hotel - Centro Benessere,IT,Casamicciola Terme,4,40.7472488347,13.9115720987,Elma Park Terme - Centro Benessere,IT,Ischia,4,40.7471512971,13.9117055386
Hotel Eden Roc,IT,Positano,4,40.62802448,14.49012995,Hotel Eden Roc Suites,IT,Positano,4,40.6280244768,14.4901299477
Hotel Royal Flush,IT,Narzole,3,6.584260765,7.884321213,Hotel Villa San Giulio,IT,Narzole,3,44.6073348774,7.8843212128
Arden City Hotel,TR,Istanbul,0,41.0099345056,28.9764297009,Arden City Hotel-Special Category,TR,Istanbul,0,41.0099549985,28.9764136076
Gran Estanplaza SÃ£o Paulo,BR,Sao Paulo,5,-23.61004,-46.69568,Gran Estanplaza Berrini,BR,Sao Paulo,5,-23.6100412281,-46.6956804693
1 Via Dei Valeri B&B,IT,Rome,0,41.883228302,12.4995298386,Hotel Valeri,IT,Rome,3,41.8831493552,12.499139607
Aparthotel Sa Clau,ES,Ibiza,1,38.9795284138,1.3033819199,Apartamentos Sa Clau,ES,San Antonio,0,38.9798641094,1.3035321236
Margutta 54 Luxury Suites Hotel,IT,Rome,0,41.9099185208,12.4780100635,Margutta 54 Luxury Suites,IT,Rome,0,41.907898453,12.4803453684
Barcelona Pere Tarres Youth Hostel,ES,Barcelona,0,41.3884808,2.1335651,Alberg Pere TarrÃ©s,ES,Barcelona,0,41.3881630725,2.1336724609
Salles Hotel Aeroport Girona,ES,Girona,4,41.8942184448,2.7760000229,Salles Hotel Aeroport de Girona,ES,Riudellots de la Selva,4,41.8943890621,2.776440382
Natali Hotel,ES,Torremolinos,3,36.6283226013,-4.4991159439,Hotel Natali,ES,Torremolinos,3,36.6281769799,-4.4991856813
Privee Santorini Hotel,GR,Santorini,2,36.3525472608,25.4548233747,Privee Santorini,GR,Perissa,0,36.3524798623,25.4547590017
Can Verdera Hotel,ES,Fornalutx,4,39.7834930008,2.737698555,Ca'n Verdera,ES,Fornalutx,4,39.7823593361,2.7410942316
Ankara Hilton SA hotel,TR,Ankara,5,39.9018024219,32.8643989563,Ankara HiltonSA,TR,Ankara,5,39.9019135345,32.8637230396
Anastasia Studios Archangelos,GR,Rhodes,0,36.20567976,28.13929349,Anastasia Studios,GR,Archangelos,0,36.2056797569,28.1392934918
Dimitra Apartments 1,GR,Crete Island,0,35.209843,25.712093,Dimitra Apartments,GR,Ãgios NikÃ³laos,0,35.2098421771,25.7120928168
Antique Roman Palace,TR,Alanya,4,36.5317771766,32.040303438,Antique Roman Palace - All Inclusive,TR,Alanya,4,36.5321140311,32.0402097702
Hotel Casa del Trigo,ES,Santa Fe,4,37.1902367759,-3.7151920795,Casa del Trigo,ES,Santa Fe,4,37.1904183983,-3.7153556943
Hotel Next To,ES,Barcelona,3,41.3961105347,2.1610488892,Next To,ES,Barcelona,3,41.3962189008,2.1613515168
Yigitalp Istanbul,TR,Istanbul,4,41.0113334656,28.9559059143,Hotel Yigitalp Istanbul,TR,Istanbul,4,41.011136994,28.9559644461
W Istanbul,TR,Istanbul,5,41.042203,29.00271,W Istanbul - Special Class,TR,Istanbul,5,41.0421648837,29.0027099848
Hotel Mon - Mon Sant Benet,ES,Sant Fruitos De Bages,4,41.7437782288,1.9001841545,Hotel MÃ³n Sant Benet,ES,Sant Fruitos de Bages,4,41.7448847262,1.9009083509
Fergus Bahia Palma Nova,ES,Majorca,3,39.52409,2.5391526,FERGUS Style Palmanova,ES,Palmanova,4,39.5240916361,2.5391527265
Le Nereidi Hotel  Residence,IT,La Maddalena,3,41.2135746064,9.3916261196,Le Nereidi Hotel Residence,IT,La Maddalena,3,41.2134547542,9.3919935823
Holiday Inn Express Malaga Airport,ES,Malaga,3,36.6728248868,-4.4789886475,Holiday Inn Express MÃ¡laga Airport,ES,MÃ¡laga,3,36.6731174617,-4.4785031676
MCC Mazurkas Conference Centre Hotel,PL,Warsaw,4,52.2079432887,20.7991790771,Hotel Mazurkas,PL,OÅ¼arÃ³w Mazowiecki,4,52.2098740487,20.8004611731
Citytrip Ramblas Apartments,ES,Barcelona,0,41.3783493042,2.1721639633,Citytrip Ramblas,ES,Barcelona,0,41.3781218212,2.1720139682
Hotel El Mirador- Optimal Hotels Selection,ES,Huesca,1,42.5998824804,-0.1267827451,Hotel El Mirador,ES,Broto,1,42.5988400469,-0.1258385181
Bella Santorini Studios,GR,Santorini,4,36.3417342225,25.4525629431,Bella Santorini,GR,Perivolos,4,36.342426,25.45292
La Plage Noire Hotel Resort and Spa,IT,Sorso,4,40.8438772854,8.596817136,La Plage Noire Resort,IT,Sorso,0,40.8418953113,8.5994332672
Rusticae Hosteria Camino,ES,Luyego de Somoza,3,42.3748259168,-6.2393760681,HosterÃ­a Camino,ES,Luyego de Somoza,0,42.37479025,-6.2394297123
Hotel La Nina,ES,Cala Millor,3,39.5992660522,3.3824989796,Hotel Biniamar,ES,Cala Millor,3,39.5977709343,3.3833169937
Luabay La Cala Hotel,ES,Majorca,4,39.5533692504,2.6052296162,Be Live Adults Only La Cala,ES,Palma de Mallorca,4,39.5527529633,2.6057231426
Apartamentos Deya,ES,Majorca,3,39.51939498,2.481885552,Hotel Apartments Deya,ES,Santa Ponsa,3,39.5193949816,2.4818855524
