<<<<<<< HEAD
partner1,partner2
9612,4469
1925,6598
1926,3726
9612,9903
9613,4469
1927,6619
9613,9903
1928,3280
9614,9835
1929,4620
1930,1626
9615,7457
1931,3878
9616,1310
1932,9804
1933,290
9617,2129
9617,5849
1934,9134
9618,2129
1935,7369
9618,5849
1936,1807
9619,56
1937,24
1937,2182
1937,9638
1938,1730
9620,7095
1939,2397
9621,3302
9621,3682
9621,4384
9622,3302
1957,7174
9622,3682
9622,4384
1958,8631
1959,68
1959,557
9623,9794
9624,3302
9624,3682
9624,4384
1960,3417
1960,8204
1961,718
1961,1993
9625,3030
9625,6235
1962,1477
9626,5102
1962,9984
1963,9229
1964,5933
9628,3634
1965,7592
1966,8796
9629,5701
1967,5679
9630,2642
1968,5735
9631,5083
1969,8954
1970,2033
9632,4999
1971,3681
1972,1026
9633,104
9633,5007
1973,3098
1973,7216
1973,7477
9634,5635
1974,5951
9635,1453
1975,4311
9636,6188
1976,7404
9637,713
9637,3474
9637,4098
1978,2747
1979,3759
1979,9709
9639,421
9639,536
1980,4710
9639,2387
9639,3283
9639,3350
9639,3764
1980,9681
1980,9709
9639,6249
9639,6565
1981,1877
9639,7585
9639,7849
1982,120
9640,3920
1982,3828
9641,26
1983,1254
1984,6147
9642,4922
1985,8486
9644,4585
1988,9340
1988,9767
1989,3877
1990,681
9645,6176
9646,2360
1991,6777
9647,1334
1992,4751
1993,4329
1994,5714
9648,9766
1995,5180
9649,5487
1996,4238
9650,7937
9651,2018
1997,9156
1999,2569
1999,5278
9652,2181
9652,4570
9652,6627
9652,7990
2000,7999
2001,1493
9653,1155
2001,6010
2001,8719
2002,2825
9654,8586
9654,9224
2003,7574
9655,51
2004,919
2005,6023
2006,7884
9657,2862
9657,3344
9658,770
2008,8255
9659,543
2009,1892
9659,1836
9659,5389
2010,9312
9660,7597
2011,8336
9661,536
2012,1420
9661,3357
9661,4864
9661,7849
9662,3183
9662,3357
2013,6806
9662,3913
9662,6781
9662,7849
2014,8070
9663,1439
9663,5570
2015,6169
9663,9762
9664,613
2016,6780
2017,700
2018,642
9665,7922
9666,5037
2019,9912
2020,4059
2021,4268
2022,1637
2023,5892
2024,5432
9669,9764
2025,4824
9670,8994
9671,4341
2027,5591
2028,2682
9672,4813
9672,7844
2029,6315
9673,4182
9673,9226
2030,9431
2031,6966
9674,8444
2032,2529
2033,788
2034,3602
9675,9720
9676,4359
2035,5954
9677,4657
2036,9222
2037,2640
2038,1937
2038,3417
9678,9111
2038,8204
2041,757
2042,6232
2043,2424
9680,8198
9681,5727
2044,8608
2045,101
2045,2469
2045,3385
2045,3639
2046,215
9682,6802
2047,3725
9683,6563
2048,1557
9684,1437
2053,6733
9685,7870
2054,9059
2057,1973
2057,2222
2057,4982
2068,3277
9686,7870
2070,2031
2087,3536
9689,6239
2098,8573
2099,2255
9690,402
9690,2087
9690,2303
9690,3325
9690,5250
9690,6718
2100,5527
9690,7497
9690,8590
9690,8953
9690,9958
9691,2778
2101,9374
2102,8445
2103,4248
9693,7023
2104,9709
2105,6335
9694,7679
2106,2772
9695,7703
9696,1715
9696,4098
2108,696
9696,5812
9696,8597
2109,6550
9697,6903
2110,4624
9698,5120
2111,263
9699,3645
2112,3934
9700,163
2113,9960
2114,2046
2115,1311
9702,4326
9702,5041
9702,5925
2116,415
2117,9880
9703,9833
2118,8307
2119,9552
2120,3232
2120,3334
9705,4221
9705,4544
9705,7645
9706,2109
2121,7063
9706,4765
9706,5156
2122,258
9707,5440
2123,5778
9708,5099
9708,5191
9708,5250
2125,918
9709,3542
2126,7041
9710,4198
2127,6572
9711,3383
9711,3527
2128,8501
9711,8044
2129,2924
9712,1550
9712,9685
9713,315
2131,3385
2131,5679
2131,8719
2132,1498
9714,6228
2133,7604
9715,5271
9715,5948
2134,5130
2135,2624
2136,3061
9717,559
2137,7466
9718,402
9718,471
9718,2087
9718,2303
9718,3325
9718,4544
9718,5099
9718,5250
2138,8105
9718,5303
9718,7497
9718,8103
9718,8590
9718,9562
9718,9874
9719,2481
2139,7036
2140,6428
9720,1436
9720,1596
9720,4779
2141,4823
2141,5679
9720,9127
9720,9791
2142,6353
9721,5039
2143,1788
9722,2994
2144,2132
9723,7004
2145,5152
9724,1932
2146,1598
2147,9340
2148,956
2148,3698
9725,8619
9726,248
2149,961
2150,7143
9727,9397
2151,4741
9728,3871
2155,1493
2155,1630
2155,3426
2155,8719
9729,7071
2159,6552
9730,995
2160,2065
2161,1935
9731,405
2162,5457
9732,5263
2163,6742
2164,411
9733,5411
9733,5560
2165,1477
2165,9984
9734,7850
9735,495
9735,4137
2166,9681
2166,9709
2167,1420
2167,5384
2167,5839
2167,9068
9736,4703
2168,3132
9736,9953
2169,272
9737,2960
2170,5306
9738,5956
2171,1493
2171,1753
2171,6010
9739,3168
2172,3156
9740,1355
2173,6854
9741,550
2174,6976
2175,2222
2175,3385
2175,3747
2175,6433
9742,5857
2176,5754
9743,4206
2177,5887
2178,5660
9744,6225
2179,6935
2180,2351
2180,3417
9745,8804
2182,3918
9746,8502
2182,6416
2182,8327
2183,6010
9747,6625
2183,8582
2184,4557
9748,3183
9748,3357
9748,4765
9748,4779
2185,2728
9749,4326
9749,5041
2186,7933
2187,3305
9750,4182
9750,9226
9751,291
2188,6387
9751,6594
2188,8173
9752,3992
2190,9182
2191,5870
2192,8503
9753,8937
9754,3409
2193,9255
2194,9847
2195,3128
9756,5035
9757,543
9757,1685
9757,1855
9757,2666
9757,3286
9757,5298
9757,8621
2199,7874
9758,1098
2200,5953
2202,845
9759,5136
9760,1469
2203,2226
9760,9157
2204,4296
9761,4738
2205,4747
2207,1135
9762,9650
9763,9792
2208,5500
9764,965
2209,8238
9765,750
2210,7633
9766,410
2212,5774
9767,95
2217,8059
2217,9924
9768,2025
2218,8529
9769,7163
2219,9167
2220,8819
9770,9095
9771,1683
2222,9520
9772,1883
2223,4805
9772,5302
2224,4897
9773,1883
2225,2545
2225,2828
9773,5302
2225,5766
2226,8981
2227,8876
9776,1210
2228,5309
9777,404
2229,9856
2230,2417
2231,3304
9778,7782
2232,2753
9779,7894
2233,8219
9780,1922
2234,5498
9781,2872
2235,8341
9781,6239
2236,4075
2238,1809
9782,7550
9782,8493
9782,8887
2239,23
2240,4541
9785,4744
2241,8980
9786,1259
2243,530
9787,6708
2245,6487
9788,4222
2246,101
2246,2469
2246,3385
2246,3639
2247,2621
9789,8101
2248,870
9790,2159
2249,385
9791,5385
9792,830
2251,2828
2252,5258
9793,1741
9794,2582
2255,234
9795,4493
9796,5245
2258,7291
9796,6565
9796,8428
2259,2999
9797,3383
9797,3527
2269,4565
9797,8044
2270,604
2270,8465
2270,8897
2270,9618
2271,604
9799,1550
2271,8465
2271,8897
2271,9618
2272,3512
2272,8465
2272,8897
2273,604
9799,9685
2273,3512
9800,1995
2273,8465
2273,8897
2273,9618
2274,1052
9801,2185
2276,963
9802,8064
2277,9259
2278,1410
9803,1855
9803,6859
2279,2161
9804,402
9804,3036
2285,2051
9804,4403
9804,5095
9804,5250
9804,8590
2286,7701
2288,1403
9806,6402
9806,7917
2289,6300
9807,4078
2290,9190
2291,2575
9808,9648
2293,3918
9809,3036
2293,8327
9809,9360
2302,6898
2303,747
9810,6581
2305,3698
9811,3761
9812,123
2306,9872
2307,2222
2307,3385
2307,3747
2307,4457
9813,402
9813,4403
9813,5095
9813,6478
9813,8590
2308,9494
9814,1450
2309,2891
9815,710
2310,6310
2312,5680
9816,9969
2314,5758
9817,8957
9818,731
9818,7305
2316,5944
9819,2713
2316,9709
9819,3904
2317,9710
9820,8806
2321,5218
9821,2713
2322,9879
9822,713
9822,1715
2323,4132
9822,8597
2324,2026
9823,117
2325,6524
9824,5369
2327,5839
9825,3783
2330,6922
2331,774
2333,9305
2335,820
9827,9157
2338,8831
9828,5657
2339,3119
9829,2391
2340,6787
2342,2455
9830,3764
9830,8716
9831,544
2344,9793
2345,2534
9831,8869
2349,1535
9832,3821
9832,5021
9833,156
2350,9017
9834,26
2351,7545
9834,3463
2352,687
2355,2363
9835,7774
2356,1058
9836,9371
9837,8936
2375,604
9838,9404
2375,3512
9839,1949
2375,8465
2375,8897
2375,9618
2376,905
9840,4027
2388,2430
9841,8923
2389,8753
9842,3822
2398,1630
9843,713
9843,2773
9843,3496
9843,5555
9843,6225
2399,1304
9843,8887
9844,402
9844,1387
9844,2087
9844,2303
2403,948
9844,3325
2403,4915
9844,5250
9844,6718
9844,7497
9844,8103
9844,8590
9844,8953
9844,9139
9844,9874
9844,9958
9845,2109
9845,3183
9845,4765
9845,5156
2404,8853
9846,1265
2411,8355
9847,2786
2432,8194
2443,2692
9848,2432
9848,4137
9848,6113
2448,8667
2449,2828
2449,5785
9849,7350
2450,2940
9850,590
9850,3276
9850,7896
2451,3232
2451,3334
9851,6972
2452,4589
9852,4149
9852,9794
9852,9836
9853,1902
9853,2901
2458,9008
2460,3182
9853,8082
2465,4374
2467,24
9854,8469
2467,2182
9855,6905
9856,348
2468,7530
2471,9040
2473,101
2473,2469
2473,3385
2473,3639
9857,8763
2479,4506
9858,7726
9858,9778
9859,3022
2497,2733
2506,1681
9860,7994
2507,7968
9861,5169
2527,6577
9862,855
2528,4303
2905,3626
9863,3275
2911,7424
2913,1973
9864,8124
9865,6992
9866,1387
9866,1841
3079,9712
9866,3325
9866,3346
9866,3429
9866,4397
9866,7497
3190,6387
9867,512
9867,1387
9867,1841
3269,524
9867,3346
9867,4397
3271,7974
9868,7441
3273,1937
9869,421
9869,536
9869,2000
9869,2387
9869,3283
9869,3350
9869,3764
3273,8204
9869,6249
9869,6565
9869,7585
3429,2013
9870,713
9870,2773
9870,3474
9870,5193
3430,593
9870,8017
9870,8597
9871,76
9871,5863
3441,7840
9872,2666
9872,3913
3471,1916
9872,6500
9873,512
3554,1911
9873,1387
9873,1841
9873,2087
3554,7881
3556,1211
3556,1477
9873,8103
9874,3093
3602,9223
9875,512
9875,1841
9875,3346
9875,4397
3610,7704
3611,987
9876,5025
9876,5992
9876,6176
3626,6464
9876,8827
3651,775
9877,1987
9878,512
3653,7593
9878,1387
9878,1841
9878,3346
9878,3670
9878,4397
3679,7362
3680,1797
9879,5567
9880,84
3715,7671
3717,808
3720,718
3720,1993
9881,4129
3721,5519
9882,7680
3722,3692
9883,7472
3724,7737
3728,3552
9884,5133
3750,5745
9885,7807
3751,4494
9886,1050
9886,8394
3752,7935
9887,7550
3804,8097
3805,6418
9888,5131
3806,4591
9889,4186
3807,3875
3810,9075
9890,9292
3818,6281
9891,2105
3827,2307
3827,5837
9892,1872
9892,6098
3828,7336
3828,8105
9893,1779
3861,3464
9894,6425
3881,6505
9895,797
3899,2918
3905,9121
3907,876
9896,8405
9897,7527
3909,4280
9898,8887
9899,1587
3910,9354
3914,3098
9900,4282
3914,7216
3916,220
3918,8996
9901,8462
3919,4247
3939,6853
9903,719
9903,4107
3940,4520
3942,4733
9904,1106
3943,9277
9905,6679
3986,8658
3987,2015
9906,5908
4075,2143
9907,4137
9907,6113
9907,8149
4088,4018
4090,2547
9908,7360
4092,9637
9909,8729
9910,4048
4123,9068
4124,469
9911,4750
4283,4987
9912,1733
4301,7591
4302,9468
9913,5925
4412,3996
9914,9396
9915,3081
4465,1753
4465,6010
4466,9470
4471,231
9916,7655
9917,750
4490,3080
9918,719
1382,5818
1383,346
1383,1466
1384,355
1384,4355
1385,355
1385,4355
1386,2883
9918,6345
1387,3515
1387,3964
9918,8222
1388,2186
1388,6949
1388,7261
1388,7637
1388,8347
1388,8714
1389,9370
1390,2176
1390,4161
1391,3242
1393,2817
1394,1918
1394,2393
1395,3964
1396,834
1397,4008
9919,6803
1398,1529
1399,1541
1400,8472
1401,346
1402,2914
1403,566
1404,1282
1405,5486
9920,5199
1406,3849
1407,4785
1408,2635
1409,61
1409,183
1409,2954
1409,7261
1409,8109
1410,4369
1411,4369
1412,3320
1414,6949
1414,7261
1414,8347
1414,8714
1415,2091
9921,5901
1416,6570
1417,2186
1418,8109
1418,9553
1419,9544
1420,5005
9922,1862
1672,1219
2842,6515
3014,6585
3123,8231
3124,880
3125,5691
3127,5382
3129,1969
3389,2698
3389,3891
3425,2793
3427,2954
3427,8114
3499,7991
3567,1541
3567,7052
3570,1908
3681,4755
3682,2943
3823,1880
9923,6278
3856,1918
3856,2393
3894,61
3894,6949
3894,7261
3894,8109
3894,8347
3894,8714
3896,61
3896,7261
3896,8109
3896,8347
3896,8714
3897,8885
4020,4057
4021,1573
4050,8386
4101,4569
9924,2862
9924,3344
4142,6873
4143,2176
4143,4161
4174,967
4253,1999
4254,61
4254,183
4254,2954
4254,8109
4257,670
4257,2635
4257,2698
4257,3891
4287,826
4297,61
4297,183
4297,2954
4297,7261
4297,8109
4312,8362
4346,670
4446,61
4446,6949
4446,7261
4446,8109
4446,8347
4446,8714
4447,61
4447,183
4447,2954
4447,8109
4448,1414
9925,4711
4496,2028
4496,7555
9213,2144
139,1362
140,2347
140,4079
141,2347
141,5916
142,5945
143,2727
143,3361
144,7101
145,2727
146,2347
147,3993
148,892
149,7435
150,3067
151,1087
152,1433
153,4208
643,2814
293,1398
293,2561
293,3110
293,4716
293,9192
294,1398
294,2561
294,3110
294,4716
295,4716
295,9192
296,4716
296,9192
297,1398
298,1687
299,3059
300,4082
757,3894
759,3453
759,9838
3452,4216
3538,374
4003,3262
478,3471
9926,8655
9927,731
478,8061
478,9955
9927,7305
9928,135
9928,2109
9928,2666
9928,3357
9928,3597
9928,3913
9928,5028
9928,5245
9928,5389
9928,6500
9928,7844
9929,7993
490,8775
552,762
552,2380
552,3860
9930,7783
552,6779
552,7731
9931,3941
577,7702
9932,8505
579,3076
9933,4705
9934,285
588,241
9935,4217
729,8675
731,63
9937,3775
748,5413
9938,7057
9939,9147
764,3424
9940,7191
9941,1787
870,9530
9942,4422
977,7687
1011,6518
1011,8379
9943,8652
9944,713
1047,1996
9944,5193
9944,8017
1063,884
9945,3276
1063,9657
1307,1438
9946,3909
9947,2981
1328,1434
1328,6224
1328,6779
9948,978
1363,1642
1363,2761
1363,5544
1520,312
9949,4137
9949,8149
1673,1616
9950,4700
1673,3702
1673,4108
1673,4883
9951,109
1673,7528
1673,8705
9951,6406
2523,8074
9952,8181
2526,4315
9953,3780
2531,1479
9954,9478
2840,7614
9955,9298
9956,1875
3035,8313
9957,1118
3543,1157
9957,5303
9958,3446
3546,1388
3546,1888
3546,5038
3546,7271
3546,8061
3546,8705
9959,4917
3546,9955
9960,1527
3576,6620
3580,9253
9961,9350
3604,1361
3604,1642
9962,3381
3604,7952
9963,402
3630,553
9963,2087
9963,2303
9963,3325
9963,4403
9963,5095
9963,7497
9963,8590
9963,9874
3631,2964
9964,4390
3652,1866
9965,5411
9965,5560
9966,6390
3689,7532
9967,3179
3803,6896
9968,3974
9968,8948
9969,7822
3824,7653
9970,1291
3830,7293
9971,9558
9972,3235
3884,282
9973,9135
3969,3261
9974,8532
3969,5045
9975,6235
9975,8510
3990,9282
9976,8620
4065,3830
9977,1376
9977,3913
9977,7777
9977,7844
4103,953
9978,543
9978,3286
9978,5298
9978,6565
4212,338
4212,391
4212,435
9979,3283
4212,1250
4212,1603
4212,2301
4212,2658
4212,3028
4212,3161
9979,6081
4212,3653
4212,3850
9979,6924
4212,4191
4212,4851
4212,4908
9979,8567
4212,5111
4212,5361
4212,5742
4212,6410
4212,7416
4212,7636
4212,7816
4212,9296
4212,9452
4212,9579
9980,4404
4212,9662
4212,9673
4212,9926
4212,9933
4212,9965
4219,4144
9981,5037
9981,8082
9982,169
4498,4627
9982,3094
4502,2166
9983,1476
6496,911
6496,3707
9985,450
6497,5000
9986,1376
6498,4888
6498,9729
9986,9629
6499,3662
9987,7002
6500,7952
9988,9231
9989,6443
6501,7199
9990,1715
6502,338
6502,391
6502,435
6502,1250
6502,1603
9990,5812
6502,2658
6502,3161
6502,3653
6502,3850
6502,4191
6502,4851
6502,4908
6502,5111
6502,5361
6502,5742
6502,7416
6502,7636
6502,7816
6502,9296
6502,9452
6502,9579
6502,9662
6502,9673
6502,9933
6502,9965
6503,72
6503,1552
9991,9215
9992,4377
6504,338
6504,435
6504,709
6504,1250
6504,1603
6504,2301
6504,2658
6504,3065
6504,3161
6504,3653
6504,3850
6504,4191
6504,4908
6504,5111
6504,5742
6504,6410
6504,7416
6504,7636
9993,4605
6504,7816
6504,9296
6504,9452
6504,9579
6504,9673
6504,9965
6505,338
6505,391
6505,435
6505,1250
6505,1603
9994,331
6505,2658
6505,3161
6505,3653
6505,3850
6505,4191
6505,4851
6505,4908
6505,5111
6505,5361
6505,5742
6505,7416
6505,7636
6505,7816
6505,9296
6505,9452
6505,9579
6505,9662
6505,9673
6505,9926
6505,9933
6505,9965
9998,4779
9998,7777
9998,7844
9999,51
6506,8102
6507,338
6507,391
6507,435
6507,1250
6507,1358
6507,1603
6507,2301
6507,2552
6507,2658
6507,3065
6507,3161
6507,3653
6507,3850
6507,4191
6507,4646
6507,4851
6507,4908
6507,5111
6507,5361
6507,5742
6507,6410
9999,8228
6507,7416
6507,7636
6507,7816
6507,9296
3779,2336
3780,44
6507,9452
3781,738
3781,7356
3782,738
3782,7356
6507,9579
6507,9662
3783,8478
6507,9673
3784,5855
4017,1520
455,7476
1305,3598
6507,9926
6507,9933
3647,7354
6507,9965
6508,25
636,7779
691,3586
691,5733
692,6382
696,5733
792,2342
792,9006
794,958
794,8739
1001,7520
1040,751
6509,1139
1040,6391
1046,6714
3189,8363
3835,8852
4071,6220
4071,6634
4072,6220
6510,10
4076,2763
4100,3339
4100,3800
4251,958
4251,8739
4291,6531
4310,5769
4429,1747
4429,5299
7280,734
7280,3901
7280,8024
7280,8929
7280,9728
7281,7713
7283,105
7283,7690
7284,5677
6511,7014
7285,6050
7286,3716
7287,7690
7288,6790
6512,3160
7288,7690
7289,5494
7289,7829
6512,4899
7290,634
7291,6071
7292,6852
7292,8929
7293,734
6512,9715
6512,9729
7293,3901
7293,8024
7293,8929
7293,9728
7294,8829
7295,364
7296,2296
7296,6973
7297,6510
7298,5494
7299,363
7299,5151
7299,7713
7300,5274
6513,9336
7301,3293
7302,5166
7304,2634
7305,1747
7305,5299
7306,508
7307,2215
7309,4538
7310,7727
7310,8888
7311,1589
7315,734
7315,3716
7315,3901
7315,8024
7315,8929
7315,9728
7321,3716
7321,4227
7325,1533
6515,3685
7331,5611
7332,3814
6515,6000
7338,669
7353,1834
7353,3925
7353,8048
6515,9547
7355,4610
6516,1388
7361,7222
7370,6042
7370,6452
7371,8709
7372,734
7372,3901
7372,8024
7372,8929
7372,9728
7386,9622
7388,7509
7398,332
6517,794
7398,9888
7399,332
7399,9888
7404,734
7404,3901
7404,8024
7404,8929
7404,9728
7417,1294
7421,2066
7425,751
7425,6391
7425,9006
7467,1699
6518,1750
7474,9083
7475,3339
7475,3800
7621,3668
7621,4845
7639,5838
7646,3239
7647,3668
7648,6257
7655,842
7691,363
7691,5151
7691,7713
7698,1406
6519,6774
7719,9171
7725,3505
7727,1122
7735,8814
7739,1938
7747,3339
7747,3800
7747,7549
7748,2740
6520,7034
7749,6450
7749,7727
7749,8888
7750,8629
6520,9483
7754,7496
7772,8225
7787,6042
7787,6452
7789,6790
7789,7050
6521,7886
7801,6104
7815,1834
7815,3925
7815,4807
7815,7332
7815,7520
7815,8048
7819,1834
7819,4807
7819,7332
7819,8048
7825,1641
7825,8890
7837,4201
7841,737
6522,6672
7852,4031
7857,9503
7895,2296
7895,6973
7895,7690
8176,5623
8177,1641
8177,2342
6523,2762
8177,8890
8314,6450
8314,8888
8321,1834
6523,4802
8403,8941
8405,751
8405,2342
8405,9006
8566,6504
8602,4953
2675,2892
2676,8286
2677,4302
6524,680
2678,2413
2679,2413
2680,8431
2682,8216
2684,7587
2697,2995
2701,3588
2742,453
2750,3159
2790,1542
2800,4346
888,2869
6524,2656
888,6996
888,8353
888,9086
889,5128
890,5832
890,8353
890,9399
6524,5633
891,6231
891,6996
892,3755
892,4513
892,4554
892,8158
892,9039
893,3944
894,388
895,9039
896,8871
897,3755
897,6231
897,9039
898,6705
899,3264
900,2869
900,6996
900,8353
901,6210
901,9598
902,253
902,5128
903,3435
904,6482
905,4513
6525,9946
906,8965
906,9399
907,3872
908,4001
908,5832
908,8965
908,9399
909,3485
6526,5571
910,9623
911,4513
911,5783
912,2717
913,343
914,4640
915,1446
915,3755
915,4554
915,6210
915,9598
916,4554
917,1800
918,6698
919,6680
919,9598
920,902
6527,7639
921,5477
922,97
6528,1042
923,9105
924,902
924,2259
924,4777
924,4995
925,6591
926,2550
6528,4646
927,9564
928,2269
929,2974
930,7506
931,2383
932,690
933,1754
6528,9926
6529,338
6529,391
6529,435
935,5481
6529,2658
6529,3028
936,7620
6529,3653
6529,3850
937,5719
6529,4191
6529,4226
6529,4851
938,6996
6529,5111
939,3755
939,3944
6529,5742
939,4513
939,4554
939,8158
939,9039
940,2726
6529,7416
941,2259
6529,7636
6529,7816
941,4777
941,4995
941,6231
6529,9296
6529,9452
942,6373
6529,9662
6529,9673
6529,9933
943,4001
6530,1385
943,9399
944,9322
945,3354
945,6118
946,3354
946,6118
947,6776
948,4573
949,1446
949,4554
949,6210
949,6680
949,6996
949,9598
950,6493
951,9772
952,6593
953,8602
954,3278
955,6463
956,8471
957,2084
958,6996
958,8353
958,9086
959,8290
6531,6224
6531,6779
960,4777
6531,7034
961,8137
962,1998
6531,9483
964,6508
965,8787
967,4440
968,9238
3131,90
4015,7511
1596,4942
504,1876
504,6640
3836,9279
3891,8844
4300,4181
7327,1964
6533,814
7343,5999
7343,7958
7439,6665
7439,8009
7487,4398
7487,9816
7764,688
7764,5999
7764,6640
7764,7958
7764,9279
7782,2939
7784,6665
7784,8009
7785,4398
7785,8187
7785,9816
7786,4398
7786,8187
7786,9816
7788,8411
8037,688
8037,5999
8037,7958
8049,5690
8186,5999
8186,7958
530,1006
856,9437
884,9522
2894,7236
3504,9930
3855,898
3958,7934
4223,4653
7713,5860
7758,269
7762,3658
7763,4212
7766,6756
7845,7885
7894,8647
7896,1989
8174,7473
8404,5740
8443,7744
8538,2221
8556,1465
8567,1706
8618,6936
360,3077
361,3392
362,8765
363,6608
364,4997
365,3324
365,7926
366,3204
367,3324
367,7926
367,9512
368,1544
369,8244
370,2725
371,692
372,5566
375,5572
376,3324
376,7926
376,8950
376,9512
377,4912
377,6185
440,4948
441,4223
442,7776
444,6805
445,4912
450,9267
6534,9657
453,8950
454,9480
458,1315
460,8267
733,8019
4487,672
239,5078
240,9852
241,223
6535,4148
242,9526
243,8369
246,623
248,324
249,9300
250,5562
251,8643
252,4519
253,7675
254,2234
256,7374
257,5355
258,6833
259,5581
260,8509
261,2060
263,5402
264,5756
349,9102
519,4434
587,8129
591,3258
6536,7389
592,1805
598,59
598,7581
599,59
599,7581
601,4719
604,214
618,6832
2533,419
2898,2234
2898,7273
3194,5244
3579,6055
3754,9101
3847,4070
4028,2710
4224,4002
6537,5086
4377,9942
>>>>>>> 01354c0608ffb0e1b68c6e16b17c7fbba33630b6
33,5806
34,4913
35,4913
35,9570
36,3092
<<<<<<< HEAD
37,6685
=======
>>>>>>> 01354c0608ffb0e1b68c6e16b17c7fbba33630b6
38,7420
38,8142
39,2931
39,7420
39,8142
<<<<<<< HEAD
40,5990
41,9925
42,1820
43,7202
44,9407
45,2931
45,7420
45,8142
46,445
47,7818
48,4763
49,7253
50,9274
51,6980
52,5191
52,9139
52,9562
53,3147
54,5428
55,8731
=======
43,7202
45,2931
45,7420
45,8142
86,2001
87,428
89,3616
334,9158
502,895
605,6241
610,6430
1004,8075
3192,1859
3999,4194
4041,6439
4166,2755
4482,4713
2284,6562
2284,7422
3286,3118
3286,4474
3287,5903
3288,6317
3289,3118
3289,4474
3290,3778
6538,9216
3291,6025
3292,6562
3292,9850
3293,3009
3293,4481
3293,6562
3293,9850
3294,5
3295,7239
3296,137
3296,3778
3297,7405
3297,9385
3298,335
3298,6659
3299,900
6540,1737
3300,3811
3300,9385
3301,1272
3301,1895
3302,3926
3302,9123
3303,6887
3304,2905
3305,6334
3305,9123
3306,5753
3306,6562
3306,6612
3307,829
3307,1170
3308,7020
3309,8926
3310,1563
3310,4639
3311,3778
3311,4566
6541,4074
3311,7157
3312,9412
3313,52
3314,9333
3315,4663
3316,924
3317,1514
3317,5753
3317,6562
3317,9850
3318,1514
3318,5753
3319,7754
3319,9066
3320,7448
3321,5074
3321,7864
3322,260
3323,829
3323,1060
3323,8000
3323,8177
6542,8918
3324,9611
3326,1449
6543,762
3327,829
3327,1060
3327,1913
3327,2043
3327,3511
3327,6401
3327,8000
3327,8117
3327,8177
3328,1003
3328,1068
6543,3860
3329,829
3329,1060
3329,3511
3329,6401
3329,6562
3329,6612
6543,5230
3329,8000
3329,8117
3330,2395
6543,7731
3331,7161
3332,8000
3332,8177
3333,3336
3334,335
3334,9385
6544,1672
3335,2603
3336,5768
6544,4883
3338,9265
3339,1244
3340,301
6544,8881
3341,3926
3341,9123
3342,9693
3343,3778
3343,9302
3343,9850
3344,2923
3345,1563
3345,4639
6545,4851
3346,9884
3347,6163
3348,3390
3349,2043
3349,3511
3349,8177
3350,943
3351,161
3352,3448
3353,829
3353,1060
3353,8000
3353,8177
3354,301
3354,4944
3354,5074
3354,7161
3354,7759
3354,7864
3355,3266
6547,3054
3356,8805
3357,6191
3358,1514
3358,8035
3359,1816
3360,1117
3360,5589
3360,7754
3360,9066
3361,8800
3362,446
3363,1117
3363,9066
3364,829
3364,1060
3364,3511
3364,6401
3364,8000
3364,8117
3364,8177
3365,8867
3366,9365
3367,335
3367,3811
3367,7405
3367,9385
3386,829
3386,1060
3386,3511
3386,6401
3386,8000
3386,8035
3386,8117
3386,8177
3387,829
3387,1060
3387,2043
3387,3511
3387,8000
3387,8177
3426,7055
6548,7425
3501,335
3501,6659
3535,2608
3535,2905
3536,3965
3539,1328
3541,2023
3597,2805
3601,8398
3601,9333
6549,5517
3708,5753
3709,1720
3744,301
3744,4944
3744,7161
3744,7759
3744,7864
3746,1525
3747,1003
3747,1068
3772,5376
3854,1272
3854,1895
6550,3923
3978,4481
3980,177
3981,6474
4147,3554
4148,1503
4172,5589
4172,9066
4236,1536
4236,7157
6551,2738
4236,8398
4237,1536
4237,4566
4237,7157
4303,8197
4304,549
4406,301
6551,9662
4406,4944
4406,7161
4406,7759
4406,7864
162,3049
163,3359
164,4427
221,6476
638,1088
638,2865
702,2865
1348,878
1359,7151
3545,243
6552,1434
28,130
28,1917
28,2465
28,3585
31,1980
31,5781
31,8456
108,3751
6552,6224
6552,6779
111,5450
123,8018
133,3414
156,5914
6553,572
157,9796
158,1791
168,3823
209,339
232,1491
289,5739
314,4475
318,7943
339,1286
343,8759
6554,7942
553,4642
607,130
607,275
607,589
607,6761
608,3406
608,9914
615,9610
648,4176
648,9355
660,1154
745,3585
6555,9510
1020,7861
1362,9051
2838,4176
2838,9355
3473,7427
3867,4674
3902,4660
6556,9057
4080,9119
4087,5913
4091,7577
4156,4236
4178,2764
4294,596
4299,6459
4306,5292
4434,4168
4434,4245
4434,9269
6558,210
6558,338
6558,435
4436,6419
4450,4815
4450,5781
6558,3028
4454,3199
6558,3653
4459,499
6558,4646
6558,4851
6558,5742
9084,1120
9084,1917
9084,2465
9084,5439
9084,5450
6558,6880
9085,275
6558,7636
9085,9269
9086,4209
6558,9662
9087,784
9087,7355
9088,1120
9088,1599
9088,3585
9088,6762
9089,4168
9090,3145
9090,5538
9091,632
9091,5421
9092,3145
9092,5538
9094,780
9095,2764
9095,3585
9095,5421
9095,5787
9096,2764
9096,3545
9096,4245
9096,5421
6559,9756
9097,1442
9098,2764
9098,5421
9098,9269
9099,1521
9099,1839
9100,4815
9100,5781
9101,130
9101,568
9101,1120
9101,1599
9101,1839
